client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
"""Right to be forgotten"", part of the European Initiative on Ending Discrimination Against Cancer Survivors.  The European Initiative on Ending Discrimination Against Cancer Survivors led by Prof. Dr. Françoise Meunier and supported by the Fonds Cancer ASBL",109126,https://www.lobbying.ie/return/109126,RPP SRL,Health,Deirdre Clune,1,2024-01-01T00:00:00.000000
.IE,85496,https://www.lobbying.ie/return/85496,Pender & Associates Ltd,Economic Development and Industry,"Jean Carberry, Leo Varadkar",2,2022-01-01T00:00:00.000000
.IE,80094,https://www.lobbying.ie/return/80094,Pender & Associates Ltd,Economic Development and Industry,"Brian Murphy, Heather Humphreys, Leo Varadkar",3,2021-09-01T00:00:00.000000
.IE,76776,https://www.lobbying.ie/return/76776,Pender & Associates Ltd,Community,Damien English,1,2021-05-01T00:00:00.000000
.IE,76772,https://www.lobbying.ie/return/76772,Pender & Associates Ltd,Economic Development and Industry,"Bairbre Nic Aongusa, Brian Murphy, Ciarán Ó hÓbáin, Damien English, Heather Humphreys, Ossian Smyth, Philip O’Callaghan",7,2021-05-01T00:00:00.000000
.IE,72921,https://www.lobbying.ie/return/72921,Pender & Associates Ltd,Community,Leo Varadkar,1,2021-01-01T00:00:00.000000
.IE,72925,https://www.lobbying.ie/return/72925,Pender & Associates Ltd,Economic Development and Industry,"Ciarán Ó hÓbáin, Damien English, Darragh O'Brien, David Hegarty, Heather Humphreys, John Shaw, Kevin McCarthy, Leo Varadkar, Peter Burke, Robert Troy, William Parnell",11,2021-01-01T00:00:00.000000
1 CARRICKMINES LAND LIMITED,89438,https://www.lobbying.ie/return/89438,Lioncor Developments Limited,Development and Zoning,"Anne Devine, Frank Curran",2,2022-05-01T00:00:00.000000
1 Liffey Land Heights Limited,76770,https://www.lobbying.ie/return/76770,Lioncor Developments Limited,Development and Zoning,Joe Boland,1,2021-05-01T00:00:00.000000
1 SOUTHERN CROSS LAND LIMITED,139480,https://www.lobbying.ie/return/139480,Q4PR,Development and Zoning,John McDonald,1,2026-01-01T00:00:00.000000
1 SOUTHERN CROSS LAND LIMITED,76375,https://www.lobbying.ie/return/76375,Lioncor Developments Limited,Development and Zoning,Joe Behan,1,2021-05-01T00:00:00.000000
1 SOUTHERN CROSS LAND LIMITED,76385,https://www.lobbying.ie/return/76385,Lioncor Developments Limited,Housing,Joe Lane,1,2021-05-01T00:00:00.000000
221+ Patient Support Group,130775,https://www.lobbying.ie/return/130775,Padraig McKeon,Health,"David Cullinane, Marie Sherlock, Michael Cahill, Michael Healy-Rae, Pádraig Rice",5,2025-05-01T00:00:00.000000
221+ Patient Support Group,113296,https://www.lobbying.ie/return/113296,Padraig McKeon,Health,"David Cullinane, Róisín Shorthall",2,2024-05-01T00:00:00.000000
221+ Patient Support Group,113289,https://www.lobbying.ie/return/113289,Padraig McKeon,Health,Duncan Smith,1,2024-05-01T00:00:00.000000
221+ Patient Support Group,65829,https://www.lobbying.ie/return/65829,Padraig McKeon,Health,"Colette Sexton, Greg Dempsey, Rachel Kenna, Stephen Donnelly, Susan Mitchell",5,2020-09-01T00:00:00.000000
221+ Patient support group,113290,https://www.lobbying.ie/return/113290,Padraig McKeon,Health,Clare Mungovan,1,2024-05-01T00:00:00.000000
221+ Patient support group,90810,https://www.lobbying.ie/return/90810,Padraig McKeon,Health,Clare Mungovan,1,2022-09-01T00:00:00.000000
3 DNR PROJECTS LIMITED,24817,https://www.lobbying.ie/return/24817,BON Total Planning Solutions Ltd,Transport,David Stanton,1,2017-09-01T00:00:00.000000
4Site,29332,https://www.lobbying.ie/return/29332,Unique Media Ltd,Communications,Nick Miller,1,2018-01-01T00:00:00.000000
4Site,29334,https://www.lobbying.ie/return/29334,Unique Media Ltd,Communications,Nick Miller,1,2018-01-01T00:00:00.000000
4Site,29313,https://www.lobbying.ie/return/29313,Unique Media Ltd,Communications,Nick Miller,1,2018-01-01T00:00:00.000000
4th Practice Day Hospital Service,82170,https://www.lobbying.ie/return/82170,Cunningham Devlin Communications,Health,Alan Kelly,1,2021-09-01T00:00:00.000000
4th Practice Day Hospital Service,73363,https://www.lobbying.ie/return/73363,Cunningham Devlin Communications,Health,Robert Watt,1,2021-01-01T00:00:00.000000
4th Practice Day Hospital Service,66777,https://www.lobbying.ie/return/66777,Cunningham Devlin Communications,Health,"Eamon Ryan, Ed Brophy, Grant Sweetnam, John McDonald, Leo Varadkar, Michael McGrath, Micheál Martin, Paschal Donohoe, Stephen Donnelly, Susan Mitchell",10,2020-09-01T00:00:00.000000
4th Practice Day Hospital Service,63981,https://www.lobbying.ie/return/63981,Cunningham Devlin Communications,Health,"David Clarke, Eamon Ryan, Michael Moynihan, Ossian Smyth",4,2020-05-01T00:00:00.000000
4th Practice Day Hospital Service,59582,https://www.lobbying.ie/return/59582,Cunningham Devlin Communications,Health,Laura Magahy,1,2020-01-01T00:00:00.000000
4th Practice Day Hospital Service,56109,https://www.lobbying.ie/return/56109,Cunningham Devlin Communications,Health,"Clare Mungovan, Laura Magahy, Simon Harris, Stephen Donnelly, Timmy Dooley",5,2019-09-01T00:00:00.000000
4th Practice Day Hospital Service,51210,https://www.lobbying.ie/return/51210,Cunningham Devlin Communications,Health,"Elizabeth Canavan, Laura Magahy, Nick Miller",3,2019-05-01T00:00:00.000000
ABEONA LIMITED,66772,https://www.lobbying.ie/return/66772,Pender & Associates Ltd,Children and Youth Affairs,"Norma Foley, Roderic O'Gorman",2,2020-09-01T00:00:00.000000
ABILITY WEST,47237,https://www.lobbying.ie/return/47237,Ability West,Local Government,"Declan McDonnell, John Walsh, Mairead Farrell, Michael John Crowe, Niall McNelis, Noel Larkin, Terry O'Flaherty",7,2019-01-01T00:00:00.000000
ABP FOODS UNLIMITED COMPANY,45920,https://www.lobbying.ie/return/45920,Heneghan PR,Agriculture,Timmy Dooley,1,2019-01-01T00:00:00.000000
ABP Food,27563,https://www.lobbying.ie/return/27563,Heneghan PR,Food ,Pat Deering,1,2018-01-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,49031,https://www.lobbying.ie/return/49031,MKC Communications,Economic Development and Industry,"Ciarán Ó hÓbáin, Mark Griffin",2,2019-01-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,37115,https://www.lobbying.ie/return/37115,MKC Communications,Economic Development and Industry,"John Shaw, Martin Fraser",2,2018-09-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,37111,https://www.lobbying.ie/return/37111,MKC Communications,Economic Development and Industry,David Stanton,1,2018-09-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,37110,https://www.lobbying.ie/return/37110,MKC Communications,Education and Training,Seán Ó Foghlú,1,2018-09-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,21030,https://www.lobbying.ie/return/21030,MKC Communications,Education and Training,"Conor Quinn, Patrick Cluskey",2,2017-05-01T00:00:00.000000
ACCENTURE PUBLIC LIMITED COMPANY,4914,https://www.lobbying.ie/return/4914,MKC Communications,Economic Development and Industry,"John Callinan, John Murphy, Mark Griffin, Seán Ó'Foghlú",4,2016-01-01T00:00:00.000000
ACE Ireland,83544,https://www.lobbying.ie/return/83544,Instinctif Partners Public Affairs Ireland,Environment,Erin McGreehan,1,2022-01-01T00:00:00.000000
ACE Ireland,83545,https://www.lobbying.ie/return/83545,Instinctif Partners Public Affairs Ireland,Environment,"Alan Farrell, Alice-Mary Higgins, Brian Leddin, Bríd Smith, Christopher O'Sullivan, Cormac Devlin, Darren O'Rourke, Jennifer Whitmore, John McGahon, Lynn Boylan, Pauline O'Reilly, Richard Bruton, Réada Cronin, Timmy Dooley",14,2022-01-01T00:00:00.000000
ACE Ireland,83543,https://www.lobbying.ie/return/83543,Instinctif Partners Public Affairs Ireland,Environment,Brian Leddin,1,2022-01-01T00:00:00.000000
ACE Ireland,79202,https://www.lobbying.ie/return/79202,Instinctif Partners Public Affairs Ireland,Environment,"Alan Farrell, Alice-Mary Higgins, Brian Leddin, Bríd Smith, Christopher O'Sullivan, Cormac Devlin, Jennifer Whitmore, John McGahon, Lynn Boylan, Pauline O'Reilly, Richard Bruton, Réada Cronin, Timmy Dooley",13,2021-09-01T00:00:00.000000
ACE Ireland,79208,https://www.lobbying.ie/return/79208,Instinctif Partners Public Affairs Ireland,Environment,"Barry Andrews, Billy Kelleher, Chris MacManus, Ciarán Cuffe, Clare Daly, Colm Markey, Deirdre Clune, Frances Fitzgerald, Grace O'Sullivan, Luke Ming Flanagan, Maria Walsh, Mick Wallace, Seán Kelly",13,2021-09-01T00:00:00.000000
ACE Ireland,79207,https://www.lobbying.ie/return/79207,Instinctif Partners Public Affairs Ireland,Environment,"Darren O'Rourke, David Cullinane, David Norris, Gerard Craughwell, Ivana Bacik, Joan Collins, Paul Donnelly, Paul Gavan, Paul Murphy, Sharon Keogan, Thomas Gould",11,2021-09-01T00:00:00.000000
ACE Ireland,79204,https://www.lobbying.ie/return/79204,Instinctif Partners Public Affairs Ireland,Environment,Michael McNamara,1,2021-09-01T00:00:00.000000
ACE Ireland,66678,https://www.lobbying.ie/return/66678,Instinctif Partners Public Affairs Ireland,Environment,"Alan Farrell, Alice-Mary Higgins, Brian Leddin, Bríd Smith, Christopher O'Sullivan, Cormac Devlin, Jennifer Whitmore, Lynn Boylan, Pauline O'Reilly, Richard Bruton, Réada Cronin",11,2020-09-01T00:00:00.000000
ACE Ireland,66676,https://www.lobbying.ie/return/66676,Instinctif Partners Public Affairs Ireland,Environment,Eamon Ryan,1,2020-09-01T00:00:00.000000
ACE Ireland,63782,https://www.lobbying.ie/return/63782,Instinctif Partners Public Affairs Ireland,Environment,Eamon Ryan,1,2020-05-01T00:00:00.000000
ACE Ireland,63796,https://www.lobbying.ie/return/63796,Instinctif Partners Public Affairs Ireland,Environment,"Darren O'Rourke, Duncan Smith, John McGahon, Tim Lombard, Timmy Dooley",5,2020-05-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,119010,https://www.lobbying.ie/return/119010,Q4PR,Transport,"Deirdre Gillane, Fiona O'Connor",2,2024-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,105179,https://www.lobbying.ie/return/105179,Q4PR,Transport,Darren O'Rourke,1,2023-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,83994,https://www.lobbying.ie/return/83994,Q4PR,Transport,Patrick Cluskey,1,2022-01-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,79616,https://www.lobbying.ie/return/79616,Q4PR,Transport,"Brian Murphy, Deirdre Gillane",2,2021-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,79613,https://www.lobbying.ie/return/79613,Q4PR,Transport,"Fiona O'Connor, Paschal Donohoe",2,2021-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,79614,https://www.lobbying.ie/return/79614,Q4PR,Transport,"John Callinan, Patrick Cluskey",2,2021-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,75911,https://www.lobbying.ie/return/75911,Q4PR,Transport,"Brian Murphy, Deirdre Gillane, Ed Brophy, Emma Cunningham, Leo Varadkar, Paschal Donohoe",6,2021-05-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,71739,https://www.lobbying.ie/return/71739,Q4PR,Transport,"Brian Murphy, Deirdre Gillane, Ed Brophy, Paschal Donohoe",4,2021-01-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,67211,https://www.lobbying.ie/return/67211,Q4PR,Transport,"John McKeon, Regina Doherty",2,2020-09-01T00:00:00.000000
AER LINGUS GROUP DESIGNATED ACTIVITY COMPANY,67195,https://www.lobbying.ie/return/67195,Q4PR,Transport,"Brian Murphy, Deirdre Gillane, Ed Brophy, John Callinan, John Shaw, Martin Fraser, Micheál Martin",7,2020-09-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLI TEORANTA,7503,https://www.lobbying.ie/return/7503,Hume Brophy,Health,"John O'Mahony, Mary Butler, Noel Rock",3,2016-05-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,34670,https://www.lobbying.ie/return/34670,Hume Brophy,Health,"Aengus Ó Snodaigh, Alan Farrell, Alan Kelly, Bernard Durkan, Brendan Griffin, Carol Nolan, Catherine Byrne, Catherine Connolly, Catherine Martin, Catherine Murphy, Colm Brophy, Damien English, Danny Healy-Rae, Dara Murphy, David Stanton, Eamon Ryan, Eoghan Murphy, Fergus O'Dowd, Helen McEntee, Jerry Buttimer, Jim Daly, John O'Mahony, Josepha Madigan, Kate O'Connell, Leo Varadkar, Louise O'Reilly, Maria Byrne, Mark Daly, Martin Heydon, Mattie McGrath, Maureen O'Sullivan, Michael Collins, Michael Creed, Michael Fitzmaurice, Michael Harty, Michael Healy-Rae, Michael Lowry, Michelle Mulherin, Neale Richmond, Noel Grealish, Noel Rock, Paschal Donohoe, Peter Fitzpatrick, Regina Doherty, Richard Bruton, Róisín Shorthall, Seán Canney, Simon Coveney, Séamus Healy, Thomas Pringle, Tommy Broughan",51,2018-09-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,27222,https://www.lobbying.ie/return/27222,Hume Brophy,Health,"Alan Farrell, Alan Kelly, Bernard Durkan, Charlie McConalogue, Colm Brophy, Dara Murphy, Finian McGrath, Kate O'Connell, Louise O'Reilly, Margaret Murphy O'Mahony, Maria Bailey, Martin Heydon, Michael Harty, Noel Rock, Pat Deering, Peter Fitzpatrick, Seán Barrett, Stephen Donnelly, Timmy Dooley",19,2018-01-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,23286,https://www.lobbying.ie/return/23286,Hume Brophy,Health,"Bernard Durkan, Brendan Griffin, Catherine Noone, Dara Murphy, David Stanton, Gerald Nash, Jerry Buttimer, Jim Daly, Joanne Lonergan, John Deasy, John O'Mahony, Keith Swanick, Maria Byrne, Martin Heydon, Michael Creed, Neale Richmond, Noel Rock, Simon Coveney, Simon Harris",19,2017-09-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,20108,https://www.lobbying.ie/return/20108,Hume Brophy,Health,"Alan Farrell, Noel Rock",2,2017-05-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,15361,https://www.lobbying.ie/return/15361,Hume Brophy,Health,Noel Rock,1,2017-01-01T00:00:00.000000
AER RIANTA INTERNATIONAL CUIDEACHTA PHOIBLÍ THEORANTA,13607,https://www.lobbying.ie/return/13607,Hume Brophy,Health,"Aindrias Moynihan, Alan Farrell, Billy Kelleher, Dara Murphy, Darragh O'Brien, David Stanton, Enda Kenny, Jack Chambers, Jackie Cahill, Jerry Buttimer, Jim Daly, John Lahart, John O'Mahony, Kevin O'Keeffe, Leo Varadkar, Margaret Murphy O'Mahony, Mary Butler, Michael Creed, Michael McGrath, Michael Moynihan, Micheál Martin, Neale Richmond, Ned O'Sullivan, Noel Rock, Pat the Cope Gallagher, Robert Troy, Simon Coveney",27,2016-09-01T00:00:00.000000
AGICOA,26513,https://www.lobbying.ie/return/26513,David Sweeney Consulting Limited,EU Affairs,Dualta O Broin,1,2018-01-01T00:00:00.000000
AIB,109772,https://www.lobbying.ie/return/109772,Q4PR,Banking and Financial Institutions,"Brian Murphy, Deirdre Gillane, Kevin Barrett, Michael McGrath",4,2024-01-01T00:00:00.000000
ALDI Ireland,89020,https://www.lobbying.ie/return/89020,Pender & Associates Ltd,Food ,"Bríd Murphy, Sarah O'Neill",2,2022-05-01T00:00:00.000000
ALDI Ireland,89012,https://www.lobbying.ie/return/89012,Pender & Associates Ltd,Food ,"Alan Dillon, Dara Calleary, Lisa Chambers, Michael Ring, Paddy Burke, Rose Conway-Walsh",6,2022-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,136321,https://www.lobbying.ie/return/136321,Pender & Associates Ltd,Economic Development and Industry,"Alan Johnston, Bronagh Mc Aree, Corina Johnston, Darragh O'Brien, David Maxwell, Duncan Smith, Lorraine Clifford-Lee, Niamh McCooey, Niamh Smyth, Noel Keelan, Raymond Aughey, Richard Truell, Robbie Gallagher, Seán Conlon",14,2025-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,130413,https://www.lobbying.ie/return/130413,Pender & Associates Ltd,Economic Development and Industry,"Daniel Butler, Kieran O'Donnell",2,2025-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,120153,https://www.lobbying.ie/return/120153,Pender & Associates Ltd,Economic Development and Industry,"Barry Cowen, Carol Nolan, Claire Murray, Declan Harvey, Declan O'Rourke, Eddie Fitzpatrick, Frank Moran, John Clendennen, Neil Feighery, Oliver Bryant, Peter Ormond, Pippa Hackett, Sean O'Brien, Tony McCormack",14,2024-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,115260,https://www.lobbying.ie/return/115260,Pender & Associates Ltd,Economic Development and Industry,Charlie McConalogue,1,2024-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,115255,https://www.lobbying.ie/return/115255,Pender & Associates Ltd,Environment,Ossian Smyth,1,2024-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,115256,https://www.lobbying.ie/return/115256,Pender & Associates Ltd,Economic Development and Industry,Martin Heydon,1,2024-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,111258,https://www.lobbying.ie/return/111258,Pender & Associates Ltd,Environment,Ossian Smyth,1,2024-01-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,105473,https://www.lobbying.ie/return/105473,Pender & Associates Ltd,Economic Development and Industry,Darragh O'Brien,1,2023-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,105469,https://www.lobbying.ie/return/105469,Pender & Associates Ltd,Economic Development and Industry,"Barry Andrews, Billy Kelleher, Brian Stanley, Charlie McConalogue, Chris MacManus, Claire Kerrane, Dara Calleary, Darragh O'Brien, Fintan Phelan, Heather Humphreys, Kieran O'Donnell, Maria Walsh, Matt Shanahan, Neale Richmond, Neil Feighery, Noel Connolly, Paul Daly, Sean Kelly, Seán Fleming, Simon Coveney",20,2023-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,101825,https://www.lobbying.ie/return/101825,Pender & Associates Ltd,Economic Development and Industry,"Declan Meenagh, John Caulfield, John Cribbin, John Paul O'Shea, Richard Finn",5,2023-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,96283,https://www.lobbying.ie/return/96283,Pender & Associates Ltd,Economic Development and Industry,"Emma Murphy, Joanna Tuffy",2,2023-01-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,92786,https://www.lobbying.ie/return/92786,Pender & Associates Ltd,Economic Development and Industry,"Billy Kelleher, Charlie McConalogue, Darragh O'Brien, Maria Walsh, Martin Browne, Matt Carthy, Ossian Smyth, Patrick Donohoe, Peter Burke, Pippa Hackett",10,2022-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,93174,https://www.lobbying.ie/return/93174,Pender & Associates Ltd,Economic Development and Industry,"Alan Dillon, Anne Rabbitte, Bernie Conlon, Declan Power, Edel Corrigan, Eileen Tully, Erin McGreehan, Fergus O'Dowd, Ged Nash, Jim Tenanty, John Sheridan, Marianne Butler, Ruairí Ó Murchú, Seán Canney, Tomás Sharkey",15,2022-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,83877,https://www.lobbying.ie/return/83877,Gibney Communications,Economic Development and Industry,Aidan Campbell,1,2022-01-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,84123,https://www.lobbying.ie/return/84123,Gibney Communications,Economic Development and Industry,"Heather Humphreys, Leo Varadkar",2,2022-01-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,75175,https://www.lobbying.ie/return/75175,Gibney Communications,Economic Development and Industry,"Audrey Buckley, Ben Dalton O'Sullivan, Donnchadh Ó Laoghaire, Jerry Buttimer, Liam O'Connor, Marcia D'Alton, Mary Rose Desmond, Michael McGrath, Micheál Martin, Seamus McGrath, Simon Coveney",11,2021-05-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,71633,https://www.lobbying.ie/return/71633,Gibney Communications,Economic Development and Industry,"Donnchadh Ó Laoghaire, Michael McGrath, Micheál Martin, Simon Coveney",4,2021-01-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,68617,https://www.lobbying.ie/return/68617,John Spain Associates,Local Government,Vincent Murray,1,2020-09-01T00:00:00.000000
ALDI STORES (IRELAND) LIMITED,66004,https://www.lobbying.ie/return/66004,Gibney Communications,Communications,"Patrick Donohoe, Sarah O'Neill",2,2020-09-01T00:00:00.000000
ALDI Stores (Ireland) Limited,89009,https://www.lobbying.ie/return/89009,Pender & Associates Ltd,Food ,Patrick Donohoe,1,2022-05-01T00:00:00.000000
ALK-Abello Ltd,79145,https://www.lobbying.ie/return/79145,Bassline Strategy Ltd,Health,"Bernard Durkan, David Cullinane, Michael McNamara",3,2021-09-01T00:00:00.000000
ALK-Abello Ltd,75463,https://www.lobbying.ie/return/75463,Bassline Strategy Ltd,Health,"Bernard Durkan, Charlie McConalogue",2,2021-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120708,https://www.lobbying.ie/return/120708,Instinctif Partners Public Affairs Ireland,Health,"Barry Heneghan, Darragh O'Brien, Gillian Toole, Helen McEntee, James Browne, James Lawless, Jennifer Carroll MacNeill, John Cummins, John Paul O'Shea, Kevin Boxer Moran, Marian Harkin, Martin Daly, Martin Heydon, Mary Butler, Michael Lowry, Noel Grealish, Norma Foley, Paschal Donohoe, Seán Canney, Verona Murphy",20,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120685,https://www.lobbying.ie/return/120685,Instinctif Partners Public Affairs Ireland,Health,Robert Watt,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120629,https://www.lobbying.ie/return/120629,Instinctif Partners Public Affairs Ireland,Health,"Darragh O'Brien, Stephen Donnelly",2,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120644,https://www.lobbying.ie/return/120644,Instinctif Partners Public Affairs Ireland,Health,"Anne Rabbitte, Bernard Durkan, Colm Burke, David Cullinane, Duncan Smith, Holly Cairns, Ivana Bacik, Mary Lou McDonald, Micheál Martin, Neasa Hourigan, Roderic O'Gorman, Róisín Shorthall, Simon Harris, Stephen Donnelly",14,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120855,https://www.lobbying.ie/return/120855,Instinctif Partners Public Affairs Ireland,Health,"Aodhán Ó Ríordáin, Barry Andrews, Barry Cowen, Billy Kelleher, Ciaran Mullooly, Cynthia Ní Mhurchú, Kathleen Funchion, Luke Ming Flanagan, Lynn Boylan, Maria Walsh, Michael McNamara, Nina Carberry, Regina Doherty, Seán Kelly",14,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120675,https://www.lobbying.ie/return/120675,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120667,https://www.lobbying.ie/return/120667,Instinctif Partners Public Affairs Ireland,Health,Barry Andrews,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120668,https://www.lobbying.ie/return/120668,Instinctif Partners Public Affairs Ireland,Health,Darragh O'Brien,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120659,https://www.lobbying.ie/return/120659,Instinctif Partners Public Affairs Ireland,Health,Billy Kelleher,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120748,https://www.lobbying.ie/return/120748,Instinctif Partners Public Affairs Ireland,Health,"Adrienne Wallace, Aisling Dolan, Aisling Moran, Alan Edge, Angela Feeney, Antoín Watters, Aoibhinn Tormey, Aoife Masterson, Bill Clear, Breda Hanaphy, Bridie Collins, Bridín Murphy, Carmel Brady, Caroline O'Reilly, Chris Pender, Claire Murray, Clodagh Higgins, Conor Reddy, Darragh Moriarty, David Fitzgerald, David Healy, Dean Mulligan, Declan Geraghty, Deirdre Heney, Deirdre O'Brien, Eddie Fitzpatrick, Edel Mcsharry, Elisa O'Donovan, Ellen Troy, Emma Blain, Erin McGreehan, Eugene Murphy, Evie Sammon, Fergus McDonnell, Fiona O'Loughlin, Francis Timmons, Frankie Daly, Garret Kelleher, Gerry Murray, Hazel Chu, Hazel De Nortuin, Helen Uchechukwu Ogbu, Imelda Goldsboro, Janice Boylan, Jim Codd, Jim Ryan, Joan Hopkins, Joe Behan, Joe Lynch, John Daniel Maher, John Lyons, John McGahon, John O'Heney, John Walsh, Kevin Callan, Laura Harmon, Lettie McCarthy, Linda Nelson Murray, Lisa Chambers, Lorraine Clifford-Lee, Maria Byrne, Maria White, Marianne Butler, Marie Casserly, Mark Duffy, Martha Fanning, Mary Fitzpatrick, Mary Linehan Foley, Mary Roche, Mary Seery Kearney, Michael Brennan, Michael Clarke, Michael Creed, Michael Doyle, Michael Fleming, Michael Smith, Mike Cubbard, Nessa Cosgrove, Niamh Whelan, Nikki Bradley, Noel French, Noel O'Donovan, Noel Thomas, Noreen Stokes, Paddy O'Rourke, Pat Kennedy, Patsy O'Brien, Paul Hogan, Paul O'Brien, Pauline O'Reilly, Peir Leonard, Philip Sutcliffe, Phyll Bugler, Rita McInerney, Ronan Moore, Róisín Garvey, Sarah Barnes, Sarah Beasley, Sarah O'Reilly, Seán Kyne, Seán Ó hArgáin, Shane O'Callaghan, Shane P O'Reilly, Sharon Tolan, TP O'Reilly, Tania Doyle, Teresa Costello, Tim Lombard, Tom McDonnell, Tony Fitzgerald, Vicki Casserly, Vincent P Martin, William O'Leary, Úna McCarthy",114,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120622,https://www.lobbying.ie/return/120622,Instinctif Partners Public Affairs Ireland,Health,"Aodhán Ó Ríordáin, Barry Andrews, Barry Cowen, Billy Kelleher, Ciaran Mullooly, Cynthia Ní Mhurchú, Kathleen Funchion, Luke Ming Flanagan, Lynn Boylan, Maria Walsh, Michael McNamara, Nina Carberry, Regina Doherty, Seán Kelly",14,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,120681,https://www.lobbying.ie/return/120681,Instinctif Partners Public Affairs Ireland,Health,Niall Redmond,1,2024-09-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115446,https://www.lobbying.ie/return/115446,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2024-05-01T00:00:00.000000
ALLIANCE OF MEDICINES FOR IRELAND COMPANY LIMITED BY GUARANTEE,115456,https://www.lobbying.ie/return/115456,Instinctif Partners Public Affairs Ireland,Health,Stephen Donnelly,1,2024-05-01T00:00:00.000000
