client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
Irish Waste Management Association,91907,https://www.lobbying.ie/return/91907,MKC Communications,Environment,"Billy Kelleher, Deirdre Clune, Grace O'Sullivan, Mick Wallace",4,2022-09-01T00:00:00.000000
Irish charities Tax Reform Group,6268,https://www.lobbying.ie/return/6268,John Gallagher,Taxation,"Barry Cowen, Catherine Murphy, Charlie Flanagan, Eoin Ó Broin, Frances Fitzgerald, John Curran, John Leahy, Michael McGrath, Michael Noonan, Robert Dowds, Simon Coveney, Simon Harris",12,2016-01-01T00:00:00.000000
Irish wind energy association,16880,https://www.lobbying.ie/return/16880,Q4PR,Energy and Natural Resources,"Andrew Doyle, Michael Creed, Paschal Donohoe",3,2017-01-01T00:00:00.000000
Irving Oil Whitegate Refinery ,139775,https://www.lobbying.ie/return/139775,Pinnacle Public Affairs Ltd,Energy and Natural Resources,"Darragh O'Brien, Deirdre Gillane, Joanne Lonergan, Matt Collins, Micheál Martin, Oonagh Buckley, Paul Bolger, Sarah Bardon, Simon Harris, Siobhan Russell",10,2026-01-01T00:00:00.000000
Irving Oil Whitegate Refinery ,133991,https://www.lobbying.ie/return/133991,Pinnacle Public Affairs Ltd,Energy and Natural Resources,"James O'Connor, Noel McCarthy, Oonagh Buckley, Rory Cocking",4,2025-09-01T00:00:00.000000
Irving Oil Whitegate Refinery ,119839,https://www.lobbying.ie/return/119839,Pinnacle Public Affairs Ltd,Energy and Natural Resources,"Brian Carroll, David Stanton, Ferghal Blaney, James Lawless, James O'Connor, Laura Mannion, Matthew Lynch, Oonagh Buckley, Peter Burke, Simon Coveney",10,2024-09-01T00:00:00.000000
Irving Oil Whitegate Refinery ,110306,https://www.lobbying.ie/return/110306,Pinnacle Public Affairs Ltd,Economic Development and Industry,"Caoimhin O'Ciaruain, Sarah O'Neill",2,2024-01-01T00:00:00.000000
Irving Oil Whitegate Refinery ,110303,https://www.lobbying.ie/return/110303,Pinnacle Public Affairs Ltd,Economic Development and Industry,"Chris Donoghue, Dara Calleary, David Stanton, James O'Connor, Laura McGonigle, Paul Bolger, Paul Kenny, Simon Coveney, Tim Lombard",9,2024-01-01T00:00:00.000000
Irving Oil Whitegate Refinery ,110308,https://www.lobbying.ie/return/110308,Pinnacle Public Affairs Ltd,Economic Development and Industry,Matthew Collins,1,2024-01-01T00:00:00.000000
Irving Oil Whitegate Refinery ,99114,https://www.lobbying.ie/return/99114,Pinnacle Public Affairs Ltd,Economic Development and Industry,"Alan Farrell, David Stanton, James O'Connor, John McGahon, Seán Sherlock",5,2023-05-01T00:00:00.000000
Island Ferries  Teoranta,8145,https://www.lobbying.ie/return/8145,J.O.S Solicitors,Local Government,"Beirti O’ hAinmhire, Jack Chambers, James Charity, Jim Cuddy, Karey McHugh, Kevin Kelly, Peter Roche, Seosamh Ó'Cualáin, Seán Kyne, Thomas Welby, Tomás Ó Curraoin, Éamon Ó Cuív",12,2016-05-01T00:00:00.000000
Island Ferries Teoranta,17788,https://www.lobbying.ie/return/17788,J.O.S Solicitors,Local Government,"Kevin Kelly, Seán Kyne",2,2017-01-01T00:00:00.000000
