unique_member_code,full_name,last_name,first_name,membership_end_date,membership_start_date,dail_chamber_type,dail_number,dail_term,dail_code,constituency_name,constituency_code,committee_1_type,committee_1_status,committee_1_end_date,committee_1_start_date,committee_1_name_end_date,committee_1_name_start_date,committee_1_name_en,committee_1_expiry_type,committee_1_main_status,committee_1_member_end_date,committee_1_member_start_date,committee_2_type,committee_2_status,committee_2_end_date,committee_2_start_date,committee_2_name_end_date,committee_2_name_start_date,committee_2_name_en,committee_2_expiry_type,committee_2_main_status,committee_2_member_end_date,committee_2_member_start_date,committee_3_type,committee_3_status,committee_3_end_date,committee_3_start_date,committee_3_name_end_date,committee_3_name_start_date,committee_3_name_en,committee_3_expiry_type,committee_3_main_status,committee_3_member_end_date,committee_3_member_start_date,committee_4_type,committee_4_status,committee_4_end_date,committee_4_start_date,committee_4_name_end_date,committee_4_name_start_date,committee_4_name_en,committee_4_expiry_type,committee_4_main_status,committee_4_member_end_date,committee_4_member_start_date,committee_5_type,committee_5_status,committee_5_end_date,committee_5_start_date,committee_5_name_end_date,committee_5_name_start_date,committee_5_name_en,committee_5_expiry_type,committee_5_main_status,committee_5_member_end_date,committee_5_member_start_date,committee_6_type,committee_6_status,member_memberships_0_membership_committees_5_houseNo,committee_6_role_end_date,committee_6_role_start_date,committee_6_role_title,committee_6_end_date,committee_6_start_date,committee_6_name_end_date,committee_6_name_start_date,committee_6_name_en,committee_6_expiry_type,member_memberships_0_membership_committees_5_houseCode,committee_6_main_status,committee_6_member_end_date,committee_6_member_start_date,party_end_date,party_start_date,party,party_code,date_of_death,committee_1_alt_name_end_date,committee_1_alt_name_start_date,committee_1_alt_name_en,committee_1_role_end_date,committee_1_role_start_date,committee_1_role_title,committee_2_role_end_date,committee_2_role_start_date,committee_2_role_title,committee_3_role_end_date,committee_3_role_start_date,committee_3_role_title,committee_7_type,committee_7_status,member_memberships_0_membership_committees_6_houseNo,committee_7_end_date,committee_7_start_date,committee_7_name_end_date,committee_7_name_start_date,committee_7_name_en,committee_7_expiry_type,member_memberships_0_membership_committees_6_houseCode,committee_7_main_status,committee_7_member_end_date,committee_7_member_start_date,committee_8_type,committee_8_status,member_memberships_0_membership_committees_7_houseNo,committee_8_end_date,committee_8_start_date,committee_8_name_end_date,committee_8_name_start_date,committee_8_name_en,committee_8_expiry_type,member_memberships_0_membership_committees_7_houseCode,committee_8_main_status,committee_8_member_end_date,committee_8_member_start_date,committee_4_role_end_date,committee_4_role_start_date,committee_4_role_title,party_1_end_date,party_1_start_date,party_1_name,party_1_code,office_1_end_date,office_1_start_date,office_1_name,committee_2_alt_name_end_date,committee_2_alt_name_start_date,committee_2_alt_name_en,ministerial_office,year_elected
Garret-Ahearn.S.2020-03-30,Garret Ahearn,Ahearn,Garret,,2025-01-29,house,27,27th Seanad,seanad,Administrative Panel,Administrative-Panel,Parliamentary Regulation and Reform,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Parliamentary Privileges and Oversight (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Parliamentary Business and Committee Membership,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee of Selection (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Policy,Live - Primary,,2025-07-08 00:00:00+00:00,,2025-07-09 00:00:00+00:00,Seanad Select Committee on EU Scrutiny and Transparency,Standing,Live,,2025-10-21 00:00:00+00:00,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-11-20 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Arts, Media, Communications, Culture and Sport",Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,34.0,,2025-05-20 00:00:00+00:00,Leas-Chathaoirleach,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Foreign Affairs and Trade,Sessional,dail,Live,,2025-05-13 00:00:00+00:00,,2025-01-29,Fine Gael,Fine_Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Chris-Andrews.D.2007-06-14,Chris Andrews,Andrews,Chris,,2025-01-29,house,27,27th Seanad,seanad,Labour Panel,Labour-Panel,Shadow Department,Dissolved,2025-05-13 00:00:00+00:00,2025-03-27 00:00:00+00:00,,2025-03-28 00:00:00+00:00,Seanad Select Committee on Subsidiarity (European Union Legislative Scrutiny),Standing transitional,Dissolved,2025-05-13 00:00:00+00:00,2025-04-02 00:00:00+00:00,Statutory,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Members' Interests of Seanad Éireann,Standing,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on European Union Affairs,Sessional,Live,,2025-05-13 00:00:00+00:00,Oversight,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Joint Committee on Public Petitions and the Ombudsmen,Standing,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Sinn Féin,Sinn_Féin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2007
Frances-Black.S.2016-04-25,Frances Black,Black,Frances,,2025-01-29,house,27,27th Seanad,seanad,Industrial and Commercial Panel,Industrial-and-Commercial-Panel,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-11-20 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-12 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on the Implementation of the Good Friday Agreement ,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Independent,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
Niall-Blaney.D.2002-06-06,Niall Blaney,Blaney,Niall,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Shadow Department,Live - Primary,,2025-05-12 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on the Implementation of the Good Friday Agreement ,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Fisheries and Maritime Affairs,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2002
Victor-Boyhan.S.2016-04-25,Victor Boyhan,Boyhan,Victor,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Policy,Live - Primary,,2025-07-08 00:00:00+00:00,,2025-07-09 00:00:00+00:00,Seanad Select Committee on EU Scrutiny and Transparency,Standing,Live,,2025-10-21 00:00:00+00:00,Parliamentary Business and Committee Membership,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee of Selection (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Fisheries and Maritime Affairs,Sessional,Live,2025-06-25 00:00:00+00:00,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Agriculture and Food,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Independent,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
Manus-Boyle.S.2025-01-29,Manus Boyle,Boyle,Manus,,2025-01-29,house,27,27th Seanad,seanad,Nominated by the Taoiseach,Nominated-by-the-Taoiseach,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Fisheries and Maritime Affairs,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Health,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fine Gael,Fine_Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Nikki-Bradley.S.2024-07-10,Nikki Bradley,Bradley,Nikki,,2025-01-29,house,27,27th Seanad,seanad,Nominated by the Taoiseach,Nominated-by-the-Taoiseach,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Children and Equality,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Disability Matters,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fine Gael,Fine_Gael,,,2025-05-01 00:00:00+00:00,Joint Committee on Children and Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2024
Paraic-Brady.S.2025-01-29,Paraic Brady,Brady,Paraic,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Oversight,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Joint Committee on Public Petitions and the Ombudsmen,Standing,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Agriculture and Food,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fine Gael,Fine_Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Cathal-Byrne.S.2025-01-29,Cathal Byrne,Byrne,Cathal,,2025-01-29,house,27,27th Seanad,seanad,Cultural and Educational Panel,Cultural-and-Educational-Panel,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-11-20 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Finance, Public Expenditure, Public Service Reform and Digitalisation, and Taoiseach",Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Infrastructure and National Development Plan Delivery,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fine Gael,Fine_Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Maria-Byrne.S.2016-04-25,Maria Byrne,Byrne,Maria,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Parliamentary Regulation and Reform,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Parliamentary Privileges and Oversight (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Parliamentary Business and Committee Membership,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee of Selection (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-10-22 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Disability Matters,Sessional,Live,,2025-05-13 00:00:00+00:00,The Committee System and Parliamentary Administration,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Working Group of Committee Cathaoirligh,Standing,Live,,2025-05-12 00:00:00+00:00,Policy,Live - Primary,34.0,,,,,2025-05-12 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Key Issues Affecting the Traveller Community,Sessional,dail,Live,,2025-05-13 00:00:00+00:00,,2025-01-29,Fine Gael,Fine_Gael,,,,,,2025-02-26 00:00:00+00:00,Leas-Chathaoirleach,,2025-02-26 00:00:00+00:00,Cathaoirleach,,2025-10-22 00:00:00+00:00,Cathaoirleach,Shadow Department,Live - Primary,34.0,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Health,Sessional,dail,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2016
Pat-Casey.D.2016-10-03,Pat Casey,Casey,Pat,,2025-01-29,house,27,27th Seanad,seanad,Labour Panel,Labour-Panel,Shadow Department,Dissolved,2025-05-13 00:00:00+00:00,2025-03-27 00:00:00+00:00,,2025-03-28 00:00:00+00:00,Seanad Select Committee on Subsidiarity (European Union Legislative Scrutiny),Standing transitional,Dissolved,2025-05-13 00:00:00+00:00,2025-04-02 00:00:00+00:00,Policy,Live - Primary,,2025-07-08 00:00:00+00:00,,2025-07-09 00:00:00+00:00,Seanad Select Committee on EU Scrutiny and Transparency,Standing,Live,,2025-10-21 00:00:00+00:00,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-11-20 00:00:00+00:00,Parliamentary Regulation and Reform,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Parliamentary Privileges and Oversight (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,Parliamentary Business and Committee Membership,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee of Selection (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,The Committee System and Parliamentary Administration,Live - Primary,34.0,,,,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Working Group of Committee Cathaoirligh,Standing,dail,Live,2025-05-11 00:00:00+00:00,2025-04-03 00:00:00+00:00,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,2025-05-13 00:00:00+00:00,2025-04-03 00:00:00+00:00,Cathaoirleach,,,,,,,Shadow Department,Live - Primary,34.0,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Finance, Public Expenditure, Public Service Reform and Digitalisation, and Taoiseach",Sessional,dail,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,34.0,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Housing, Local Government and Heritage",Sessional,dail,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,false,2016
Lorraine-Clifford-Lee.S.2016-04-25,Lorraine Clifford-Lee,Clifford-Lee,Lorraine,,2025-01-29,house,27,27th Seanad,seanad,Nominated by the Taoiseach,Nominated-by-the-Taoiseach,Shadow Department,Dissolved,2025-05-13 00:00:00+00:00,2025-03-27 00:00:00+00:00,,2025-03-28 00:00:00+00:00,Seanad Select Committee on Subsidiarity (European Union Legislative Scrutiny),Standing transitional,Dissolved,2025-05-13 00:00:00+00:00,2025-04-02 00:00:00+00:00,Statutory,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Members' Interests of Seanad Éireann,Standing,Live,,2025-05-13 00:00:00+00:00,The Committee System and Parliamentary Administration,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Working Group of Committee Cathaoirligh,Standing,Live,,2025-07-10 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Climate, Environment and Energy",Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Transport,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,2025-07-10 00:00:00+00:00,Cathaoirleach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28 00:00:00+00:00,Leas-Chathaoirleach,,,,,,,,,,,false,2016
Tom-Clonan.S.2022-04-04,Tom Clonan,Clonan,Tom,,2025-01-29,house,27,27th Seanad,seanad,University of Dublin,University-of-Dublin,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Defence and National Security,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Disability Matters,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Health,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Independent,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2022
Joanne-Collins.S.2025-01-29,Joanne Collins,Collins,Joanne,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Agriculture and Food,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Transport,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Sinn Féin,Sinn_Féin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Alison-Comyn.S.2025-01-29,Alison Comyn,Comyn,Alison,,2025-01-29,house,27,27th Seanad,seanad,Nominated by the Taoiseach,Nominated-by-the-Taoiseach,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Arts, Media, Communications, Culture and Sport",Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-12 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on the Implementation of the Good Friday Agreement ,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Joe-Conway.S.2025-01-29,Joe Conway,Conway,Joe,,2025-01-29,house,27,27th Seanad,seanad,Cultural and Educational Panel,Cultural-and-Educational-Panel,Policy,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,"Comhchoiste na Gaeilge, na Gaeltachta agus Phobal Labhartha na Gaeilge",Standing,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Education and Youth,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Independent,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Martin-Conway.S.2011-05-25,Martin Conway,Conway,Martin,,2025-01-29,house,27,27th Seanad,seanad,Administrative Panel,Administrative-Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-09,2025-01-29,Fine Gael,Fine_Gael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-09,Independent,Independent,,,,,,,false,2011
Nessa-Cosgrove.S.2025-01-29,Nessa Cosgrove,Cosgrove,Nessa,,2025-01-29,house,27,27th Seanad,seanad,Labour Panel,Labour-Panel,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Children and Equality,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Transport,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Labour Party,Labour_Party,,,2025-05-01 00:00:00+00:00,Joint Committee on Children and Equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Teresa-Costello.S.2025-01-29,Teresa Costello,Costello,Teresa,,2025-01-29,house,27,27th Seanad,seanad,Agricultural Panel,Agricultural-Panel,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Health,Sessional,Live,,2025-05-13 00:00:00+00:00,Policy,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Drugs Use,Special,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Gerard-P-Craughwell.S.2014-10-10,Gerard P. Craughwell,Craughwell,Gerard P.,,2025-01-29,house,27,27th Seanad,seanad,Labour Panel,Labour-Panel,Consultative,Live - Primary,,2025-10-22 00:00:00+00:00,,2025-10-23 00:00:00+00:00,Seanad Public Consultation Committee,Sessional,Live,,2025-11-20 00:00:00+00:00,Shadow Department,Dissolved,2025-05-13 00:00:00+00:00,2025-03-27 00:00:00+00:00,,2025-03-28 00:00:00+00:00,Seanad Select Committee on Subsidiarity (European Union Legislative Scrutiny),Standing transitional,Dissolved,2025-05-13 00:00:00+00:00,2025-04-02 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Fisheries and Maritime Affairs,Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Defence and National Security,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Independent,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2014
Ollie-Crowe.S.2020-03-30,Ollie Crowe,Crowe,Ollie,,2025-01-29,house,27,27th Seanad,seanad,Industrial and Commercial Panel,Industrial-and-Commercial-Panel,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,"Joint Committee on Enterprise, Tourism and Employment",Sessional,Live,,2025-05-13 00:00:00+00:00,Shadow Department,Live - Primary,,2025-05-07 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Infrastructure and National Development Plan Delivery,Sessional,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2020
Shane-Curley.S.2025-01-29,Shane Curley,Curley,Shane,,2025-01-29,house,27,27th Seanad,seanad,Cultural and Educational Panel,Cultural-and-Educational-Panel,Shadow Department,Live - Primary,,2025-05-13 00:00:00+00:00,,2025-05-01 00:00:00+00:00,Joint Committee on Education and Youth,Sessional,Live,,2025-05-13 00:00:00+00:00,Policy,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,"Comhchoiste na Gaeilge, na Gaeltachta agus Phobal Labhartha na Gaeilge",Standing,Live,,2025-05-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2025
Mark-Daly.S.2007-07-23,Mark Daly,Daly,Mark,,2025-01-29,house,27,27th Seanad,seanad,Administrative Panel,Administrative-Panel,Policy,Live - Primary,,2025-07-08 00:00:00+00:00,,2025-07-09 00:00:00+00:00,Seanad Select Committee on EU Scrutiny and Transparency,Standing,Live,,2025-10-15 00:00:00+00:00,Parliamentary Regulation and Reform,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Committee on Parliamentary Privileges and Oversight (Seanad Éireann),Standing,Live,,2025-02-26 00:00:00+00:00,The Committee System and Parliamentary Administration,Live - Primary,,2025-02-12 00:00:00+00:00,,2025-01-29 00:00:00+00:00,Working Group of Committee Cathaoirligh,Standing,Live,,2025-11-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,Fianna Fáil,Fianna_Fáil,,,,,,2025-10-15 00:00:00+00:00,Cathaoirleach,,2025-02-26 00:00:00+00:00,Cathaoirleach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-12,Cathaoirleach,,,,false,2007
