unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Daniel-Kiely.S.1981-10-08,Daniel,Kiely,Labour Panel,Daniel Kiely,Fianna Fáil,false,1981,21,"20,21",False
Helen-Keogh.S.1989-10-01,Helen,Keogh,Nominated by the Taoiseach,Helen Keogh,Progressive Democrats,false,1989,21,"21,27",False
Fergus-O'Dowd.S.1997-09-17,Fergus,O'Dowd,Administrative Panel,Fergus O'Dowd,Fine Gael,false,1997,21,"21,29,30,31,32,33",False
Máirín-Quill.D.1987-03-10,Máirín,Quill,Nominated by the Taoiseach,Máirín Quill,Progressive Democrats,false,1987,21,"21,27",False
Therese-Ridge.S.1997-09-17,Therese,Ridge,Labour Panel,Therese Ridge,Fine Gael,false,1997,21,21,False
Seán-Ryan.D.1989-06-29,Seán,Ryan,Labour Panel,Seán Ryan,Labour Party,false,1989,21,"21,27,28,29",False
Madeleine-Taylor-Quinn.D.1981-06-30,Madeleine,Taylor-Quinn,Cultural and Educational Panel,Madeleine Taylor-Quinn,Fine Gael,false,1981,21,"20,21",False
Brian-Mullooly.S.1981-10-08,Brian,Mullooly,Labour Panel,Brian Mullooly,Fianna Fáil,false,1981,21,"20,21",False
Ernie-Caffrey.S.1997-09-17,Ernie,Caffrey,Industrial and Commercial Panel,Ernie Caffrey,Fine Gael,false,1997,21,21,False
Frank-Chambers.S.1997-09-17,Frank,Chambers,Nominated by the Taoiseach,Frank Chambers,Fianna Fáil,false,1997,21,21,False
John-Connor.D.1981-06-30,John,Connor,Agricultural Panel,John Connor,Fine Gael,false,1981,21,"21,27",False
Fintan-A-Coogan.D.1982-12-14,Fintan A.,Coogan,Administrative Panel,Fintan A. Coogan,Fine Gael,false,1982,21,21,False
Liam-T-Cosgrave.D.1981-06-30,Liam T.,Cosgrave,Industrial and Commercial Panel,Liam T. Cosgrave,Fine Gael,false,1981,21,"20,21",False
