unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Derek-Keating.D.2011-03-09,Derek,Keating,Dublin Mid-West,Derek Keating,Fine Gael,false,2011,31,31,False
Tom-Fleming.D.2011-03-09,Tom,Fleming,Kerry South,Tom Fleming,Independent,false,2011,31,31,False
Eamon-Gilmore.D.1989-06-29,Eamon,Gilmore,Dún Laoghaire,Eamon Gilmore,Labour Party,true,1989,31,31,False
Dominic-Hannigan.S.2007-07-23,Dominic,Hannigan,Meath East,Dominic Hannigan,Labour Party,false,2007,31,31,False
Noel-Harrington.D.2011-03-09,Noel,Harrington,Cork South-West,Noel Harrington,Fine Gael,false,2011,31,31,False
Brian-Hayes.S.1995-12-20,Brian,Hayes,Dublin South-West,Brian Hayes,Fine Gael,false,1995,31,31,False
Tom-Hayes.S.1997-09-17,Tom,Hayes,Tipperary South,Tom Hayes,Fine Gael,false,1997,31,31,False
Joe-Higgins.D.1997-06-26,Joe,Higgins,Dublin West,Joe Higgins,Socialist Party,false,1997,31,31,False
Terence-Flanagan.D.2007-06-14,Terence,Flanagan,Dublin North-East,Terence Flanagan,Fine Gael,false,2007,31,31,False
Kevin-Humphreys.D.2011-03-09,Kevin,Humphreys,Dublin South-East,Kevin Humphreys,Labour Party,false,2011,31,"25,31",False
Robert-Dowds.D.2011-03-09,Robert,Dowds,Dublin Mid-West,Robert Dowds,Labour Party,false,2011,31,31,False
Anne-Ferris.D.2011-03-09,Anne,Ferris,Wicklow,Anne Ferris,Labour Party,false,2011,31,31,False
Colm-Keaveney.D.2011-03-09,Colm,Keaveney,Galway East,Colm Keaveney,Labour Party,false,2011,31,31,False
Luke-'Ming'-Flanagan.D.2011-03-09,Luke 'Ming',Flanagan,Roscommon-South-Leitrim,Luke 'Ming' Flanagan,Independent,false,2011,31,31,False
Phil-Hogan.S.1987-04-25,Phil,Hogan,Carlow-Kilkenny,Phil Hogan,Fine Gael,true,1987,31,31,False
Patrick-Nulty.D.2011-10-27,Patrick,Nulty,Dublin West,Patrick Nulty,Independent,false,2011,31,31,False
Gabrielle-McFadden.D.2014-05-23,Gabrielle,McFadden,Longford-Westmeath,Gabrielle McFadden,Fine Gael,false,2014,31,"25,31",False
Dara-Murphy.D.2011-03-09,Dara,Murphy,Cork North-Central,Dara Murphy,Fine Gael,false,2011,32,"31,32",False
Margaret-Murphy-O'Mahony.D.2016-10-03,Margaret,Murphy O'Mahony,Cork South-West,Margaret Murphy O'Mahony,Fianna Fáil,false,2016,32,"27,32",False
Mary-Mitchell-O'Connor.D.2011-03-09,Mary,Mitchell O'Connor,Dún Laoghaire,Mary Mitchell O'Connor,Fine Gael,true,2011,32,"31,32",False
Tom-Neville.D.2016-10-03,Tom,Neville,Limerick County,Tom Neville,Fine Gael,false,2016,32,32,False
Michael-Noonan.D.1981-06-30,Michael,Noonan,Limerick City,Michael Noonan,Fine Gael,true,1981,32,"31,32",False
Eugene-Murphy.D.2016-10-03,Eugene,Murphy,Roscommon-Galway,Eugene Murphy,Fianna Fáil,false,2016,32,"26,32",False
Tony-McLoughlin.D.2011-03-09,Tony,McLoughlin,Sligo-Leitrim,Tony McLoughlin,Fine Gael,false,2011,32,"31,32",False
Jonathan-O'Brien.D.2011-03-09,Jonathan,O'Brien,Cork North-Central,Jonathan O'Brien,Sinn Féin,false,2011,32,"31,32",False
Finian-McGrath.D.2002-06-06,Finian,McGrath,Dublin Bay North,Finian McGrath,Independent,true,2002,32,"31,32",False
Mick-Wallace.D.2011-03-09,Mick,Wallace,Wexford,Mick Wallace,Independents 4 Change,false,2011,32,"31,32",False
Caoimhghín-Ó-Caoláin.D.1997-06-26,Caoimhghín,Ó Caoláin,Cavan-Monaghan,Caoimhghín Ó Caoláin,Sinn Féin,false,1997,32,"31,32",False
Katherine-Zappone.S.2011-05-25,Katherine,Zappone,Dublin South-West,Katherine Zappone,Independent,true,2011,32,"24,32",False
Kevin-O'Keeffe.D.2016-10-03,Kevin,O'Keeffe,Cork East,Kevin O'Keeffe,Fianna Fáil,false,2016,32,32,False
Fiona-O'Loughlin.D.2016-10-03,Fiona,O'Loughlin,Kildare South,Fiona O'Loughlin,Fianna Fáil,false,2016,32,"26,27,32",False
Frank-O'Rourke.D.2016-10-03,Frank,O'Rourke,Kildare North,Frank O'Rourke,Fianna Fáil,false,2016,32,32,False
Jan-O'Sullivan.S.1993-02-17,Jan,O'Sullivan,Limerick City,Jan O'Sullivan,Labour Party,false,1993,32,"31,32",False
Maureen-O'Sullivan.D.2009-06-05,Maureen,O'Sullivan,Dublin Central,Maureen O'Sullivan,Independent,false,2009,32,"31,32",False
Willie-Penrose.D.1992-12-14,Willie,Penrose,Longford-Westmeath,Willie Penrose,Labour Party,false,1992,32,"31,32",False
Noel-Rock.D.2016-10-03,Noel,Rock,Dublin North-West,Noel Rock,Fine Gael,false,2016,32,32,False
Shane-PN-Ross.S.1981-10-08,Shane,Ross,Dublin Rathdown,Shane Ross,Independent,true,1981,32,"31,32",False
Brendan-Ryan.S.2007-07-23,Brendan,Ryan,Dublin Fingal,Brendan Ryan,Labour Party,false,2007,32,"31,32",False
Kate-O'Connell.D.2016-10-03,Kate,O'Connell,Dublin Bay South,Kate O'Connell,Fine Gael,false,2016,32,32,False
Enda-Kenny.D.1975-11-12,Enda,Kenny,Mayo,Enda Kenny,Fine Gael,false,1975,32,"31,32",False
Billy-Kelleher.S.1993-02-17,Billy,Kelleher,Cork North-Central,Billy Kelleher,Fianna Fáil,false,1993,32,"31,32",False
Pat-Casey.D.2016-10-03,Pat,Casey,Wicklow,Pat Casey,Fianna Fáil,false,2016,32,"26,27,32",False
Shane-Cassells.D.2016-10-03,Shane,Cassells,Meath West,Shane Cassells,Fianna Fáil,false,2016,32,"26,32",False
Marcella-Corcoran-Kennedy.D.2011-03-09,Marcella,Corcoran Kennedy,Offaly,Marcella Corcoran Kennedy,Fine Gael,false,2011,32,"31,32",False
Lisa-Chambers.D.2016-10-03,Lisa,Chambers,Mayo,Lisa Chambers,Fianna Fáil,false,2016,32,"26,32",False
Catherine-Byrne.D.2007-06-14,Catherine,Byrne,Dublin South-Central,Catherine Byrne,Fine Gael,true,2007,32,"31,32",False
Joan-Burton.D.1992-12-14,Joan,Burton,Dublin West,Joan Burton,Labour Party,false,1992,32,"31,32",False
Gerry-Adams.D.2011-03-09,Gerry,Adams,Louth,Gerry Adams,Sinn Féin,false,2011,32,"31,32",False
Maria-Bailey.D.2016-10-03,Maria,Bailey,Dún Laoghaire,Maria Bailey,Fine Gael,false,2016,32,32,False
Seán-Barrett.D.1981-06-30,Seán,Barrett,Dún Laoghaire,Seán Barrett,Fine Gael,false,1981,32,"31,32",False
John-Brassil.D.2016-10-03,John,Brassil,Kerry,John Brassil,Fianna Fáil,false,2016,32,32,False
Pat-Breen.D.2002-06-06,Pat,Breen,Clare,Pat Breen,Fine Gael,true,2002,32,"31,32",False
Thomas-P-Broughan.D.1992-12-14,Thomas P.,Broughan,Dublin Bay North,Thomas P. Broughan,Independents 4 Change,false,1992,32,"31,32",False
Declan-Breathnach.D.2016-10-03,Declan,Breathnach,Louth,Declan Breathnach,Fianna Fáil,false,2016,32,32,False
Bobby-Aylward.D.2007-06-14,Bobby,Aylward,Carlow-Kilkenny,Bobby Aylward,Fianna Fáil,false,2007,32,"31,32",False
John-Halligan.D.2011-03-09,John,Halligan,Waterford,John Halligan,Independent,true,2011,32,"31,32",False
Michael-Harty.D.2016-10-03,Michael,Harty,Clare,Michael Harty,Independent,false,2016,32,32,False
Frances-Fitzgerald.D.1992-12-14,Frances,Fitzgerald,Dublin Mid-West,Frances Fitzgerald,Fine Gael,true,1992,32,"31,32",False
Martin-Ferris.D.2002-06-06,Martin,Ferris,Kerry,Martin Ferris,Sinn Féin,false,2002,32,"31,32",False
John-Curran.D.2002-06-06,John,Curran,Dublin Mid-West,John Curran,Fianna Fáil,false,2002,32,32,False
Michael-D'Arcy.D.2007-06-14,Michael,D'Arcy,Wexford,Michael D'Arcy,Fine Gael,true,2007,32,"24,26,32",False
Clare-Daly.D.2011-03-09,Clare,Daly,Dublin Fingal,Clare Daly,Independents 4 Change,false,2011,32,"31,32",False
