local_authority,member,meeting_date,motion,vote,source_status,join_status
Carlow,Fintan Phelan,March 2026,Resolution: Motion Carried Submission No. CLW-C178-10 sought the rezoning 6.96ha from enterprise and employment to residential development at convergence of Rathoe Road and the N81 and Submission No. CLW-C178-18,for,text,resolved
Carlow,William Quinn,March 2026,Resolution: Motion Carried Submission No. CLW-C178-10 sought the rezoning 6.96ha from enterprise and employment to residential development at convergence of Rathoe Road and the N81 and Submission No. CLW-C178-18,for,text,printed_form
Carlow,Adrienne Wallace,March 2026,Resolution: Motion Carried Submission No. CLW-C178-10 sought the rezoning 6.96ha from enterprise and employment to residential development at convergence of Rathoe Road and the N81 and Submission No. CLW-C178-18,for,text,resolved
Carlow,Ben Ward,March 2026,Resolution: Motion Carried Submission No. CLW-C178-10 sought the rezoning 6.96ha from enterprise and employment to residential development at convergence of Rathoe Road and the N81 and Submission No. CLW-C178-18,for,text,resolved
Carlow,Fergal Browne,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,John Cassin,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Andrea Dalton,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Jim Deane,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Paul Doogue,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Michael Doran,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Andy Gladney,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Thomas Kinsella,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Ken Murnane,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Charlie Murphy,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Brian O’Donoghue,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,William Paton,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Daniel Pender,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,John Pender,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Fintan Phelan,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,William Quinn,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,printed_form
Carlow,Adrienne Wallace,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Ben Ward,March 2026,"Proposed by Cllr. W. Paton, Seconded by Cllr. Ward “To approve the rezoning request as submitted under Submission CLW- C178-10: to rezone 6.96ha from enterprise and employment to new residential development at conv",for,text,resolved
Carlow,Fergal Browne,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,John Cassin,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Andrea Dalton,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Jim Deane,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Paul Doogue,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Michael Doran,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Andy Gladney,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Thomas Kinsella,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Ken Murnane,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",against,text,resolved
Carlow,Charlie Murphy,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Brian O’Donoghue,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,William Paton,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Daniel Pender,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,John Pender,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Fintan Phelan,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,William Quinn,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,printed_form
Carlow,Adrienne Wallace,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Ben Ward,March 2026,"resolutions agreed at the Council Meeting on Monday on 9th March 2026 on the proposal of Councillor W. Paton Seconded by Councillor J. Deane with 18 members voting in favour, and to proceed in accordance with Section",for,text,resolved
Carlow,Fergal Browne,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,John Cassin,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Andrea Dalton,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Jim Deane,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Paul Doogue,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Michael Doran,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Andy Gladney,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Thomas Kinsella,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Ken Murnane,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Charlie Murphy,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Brian O’Donoghue,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,William Paton,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
