circular_no,circular_title,department,rule_type,published_on,si_year,si_number,si_id,circular_source_url,circular_pdf_url,source_licence,extraction_note
06/2021,06/2021 Circular PL 06/2021 – Takeaway and Outdoor Dining – Planning Amendments,department-of-housing-local-government-and-heritage,planning_rule,30 April 2021,2021,208,2021-208,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments/,https://assets.gov.ie/static/documents/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2021,06/2021 Circular PL 06/2021 – Takeaway and Outdoor Dining – Planning Amendments,department-of-housing-local-government-and-heritage,planning_rule,30 April 2021,2021,209,2021-209,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments/,https://assets.gov.ie/static/documents/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2021,06/2021 Circular PL 06/2021 – Takeaway and Outdoor Dining – Planning Amendments,department-of-housing-local-government-and-heritage,planning_rule,30 April 2021,2021,210,2021-210,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments/,https://assets.gov.ie/static/documents/circular-pl-062021-takeaway-and-outdoor-dining-planning-amendments.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2022,05/2022 Circular LG 05/2022 - Allowances and Expenses of Elected Members,department-of-housing-local-government-and-heritage,other_guidance,7 September 2022,2021,313,2021-313,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-lg-052022-allowances-and-expenses-of-elected-members/,https://assets.gov.ie/static/documents/circular-lg-052022-allowances-and-expenses-of-elected-members.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
20/2021,Circular 20/2021 - Open Data Directive,department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation,other_guidance,23 December 2021,2021,376,2021-376,https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/circulars/circular-202021-open-data-directive/,https://assets.gov.ie/static/documents/circular-202021-open-data-directive.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2021,07/2021 Circular PL 07/2021 - Planning and Development Act 2000 (Section 254 - Overground Telecommunication Cables) Regulations 2021 - S.I. ,department-of-housing-local-government-and-heritage,planning_rule,18 August 2021,2021,422,2021-422,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-072021-planning-and-development-act-2000-section-254-overground-telecommunication-cables-regulations-2021-si-422-of-2021/,https://assets.gov.ie/static/documents/pl-072021-planning-and-development-act-2000-section-254-overground-telecommunication-c.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2023,Circular 07/2023 - Local Authority Home Loan Scheme (LAHL),department-of-housing-local-government-and-heritage,funding_scheme,28 February 2023,2021,701,2021-701,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-072023-local-authority-home-loan-scheme-lahl/,https://assets.gov.ie/static/documents/circular-072023-local-authority-home-loan-scheme-lahl.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
13/2021,13/2021 Circular PL 13/2021 - Large-scale Residential Development Act and Regulations 2021,department-of-housing-local-government-and-heritage,planning_rule,17 December 2021,2021,714,2021-714,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-132021-large-scale-residential-development-act-and-regulations-2021/,https://assets.gov.ie/static/documents/circular-pl-132021.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
13/2021,13/2021 Circular PL 13/2021 - Large-scale Residential Development Act and Regulations 2021,department-of-housing-local-government-and-heritage,planning_rule,17 December 2021,2021,715,2021-715,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-132021-large-scale-residential-development-act-and-regulations-2021/,https://assets.gov.ie/static/documents/circular-pl-132021.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
13/2021,13/2021 Circular PL 13/2021 - Large-scale Residential Development Act and Regulations 2021,department-of-housing-local-government-and-heritage,planning_rule,17 December 2021,2021,716,2021-716,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-132021-large-scale-residential-development-act-and-regulations-2021/,https://assets.gov.ie/static/documents/circular-pl-132021.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
13/2021,13/2021 Circular PL 13/2021 - Large-scale Residential Development Act and Regulations 2021,department-of-housing-local-government-and-heritage,planning_rule,17 December 2021,2021,720,2021-720,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-132021-large-scale-residential-development-act-and-regulations-2021/,https://assets.gov.ie/static/documents/circular-pl-132021.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2022,02/2022 Circular PL 02/2022 - Planning and Development Act (Exempted Development) Regulations 2022 (S.I. 75 of 2022),department-of-housing-local-government-and-heritage,planning_rule,24 February 2022,2022,75,2022-075,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-022022-planning-and-development-act-exempted-development-regulations-2022-si-75-of-2022/,https://assets.gov.ie/static/documents/circular-pl-022022-planning-and-development-act-exempted-development-regulations-2022-.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
51/2022,Circular 51/2022 - Defective Concrete Blocks Grant Scheme - Dwellings Damaged by the Use of Defective Concrete Blocks in Construction (Remed,department-of-housing-local-government-and-heritage,funding_scheme,16 December 2022,2022,85,2022-085,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-512022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-the-use-of-defective-concrete-blocks-in-construction-remediation-financial-assistance-amendment-no2-regulations-2022-si-no-654-of-2022/,https://assets.gov.ie/static/documents/circular-512022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-the-use-of.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
12/2022,12/2022 Circular Housing 12/2022 - Defective Concrete Blocks Grant Scheme - Dwellings Damaged by the Use of Defective Concrete Blocks in Con,department-of-housing-local-government-and-heritage,funding_scheme,25 February 2022,2022,85,2022-085,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-housing-122022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-the-use-of-defective-concrete-blocks-in-construction-remediation-financial-assistance-amendment-regulations-2022-si-85-of-2022/,https://assets.gov.ie/static/documents/circular-housing-122022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-th.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2022,02/2022 Circular EUIPR 02/2022 - Planning and Development Act 2000 (Exempted Development)(Number 2) Regulations 2022,department-of-housing-local-government-and-heritage,planning_rule,1 April 2022,2022,151,2022-151,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-euipr-022022-planning-and-development-act-2000-exempted-developmentnumber-2-regulations-2022/,https://assets.gov.ie/static/documents/circular-euipr-022022-planning-and-development-act-2000-exempted-developmentnumber-2-r.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2023,Circular 07/2023 - Local Authority Home Loan Scheme (LAHL),department-of-housing-local-government-and-heritage,funding_scheme,28 February 2023,2022,184,2022-184,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-072023-local-authority-home-loan-scheme-lahl/,https://assets.gov.ie/static/documents/circular-072023-local-authority-home-loan-scheme-lahl.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
04/2022,04/2022 Circular PL 04/2022 - Section 254 Street Furniture Fees Waiver Regulations,department-of-housing-local-government-and-heritage,planning_rule,25 May 2022,2022,249,2022-249,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-042022-section-254-street-furniture-fees-waiver-regulations/,https://assets.gov.ie/static/documents/circular-pl-042022-section-254-street-furniture-fees-waiver-regulations.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
306/2022,No. 306 of 2022 European Union (Planning and Development) (Displaced Persons from Ukraine Temporary Protection) Regulations 2022,department-of-housing-local-government-and-heritage,planning_rule,1 July 2022,2022,306,2022-306,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-displaced-persons-from-ukraine-temporary-protection-regulations-2022/,https://assets.gov.ie/static/documents/circular-euipr-32022-european-union-planning-and-developmentdisplaced-persons-from-ukr.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2022,- 01/2022 Circular MPPL - 01/2022 - Maritime Area Planning Act 2021 – (Commencement of Certain Provisions) (No. 3) Order 2022 (S.I. 488 of 2,department-of-housing-local-government-and-heritage,act_commencement,11 October 2022,2022,488,2022-488,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-mppl-012022-maritime-area-planning-act-2021-commencement-of-certain-provisions-no-3-order-2022-si-488-of-2022/,https://assets.gov.ie/static/documents/circular-mppl-012022-maritime-area-planning-act-2021-commencement-of-certain-provision.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2022,07/2022 Circular PL 07/2022 – Solar Planning Exemptions,department-of-housing-local-government-and-heritage,planning_rule,7 October 2022,2022,492,2022-492,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-072022-solar-planning-exemptions/,https://assets.gov.ie/static/documents/circular-pl-072022-solar-planning-exemptions.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2022,07/2022 Circular PL 07/2022 – Solar Planning Exemptions,department-of-housing-local-government-and-heritage,planning_rule,7 October 2022,2022,493,2022-493,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-072022-solar-planning-exemptions/,https://assets.gov.ie/static/documents/circular-pl-072022-solar-planning-exemptions.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2022,Circular L2/22 - Revised Domestic Lead Remediation Grant Scheme administered by Local Authorities,department-of-housing-local-government-and-heritage,funding_scheme,18 October 2022,2022,519,2022-519,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-l222-revised-domestic-lead-remediation-grant-scheme-administered-by-local-authorities/,https://assets.gov.ie/static/documents/circular-l222-revised-domestic-lead-remediation-grant-scheme-administered-by-local-aut.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
08/2022,"08/2022 Circular PL 08/2022 - Planning and Development, Maritime and Valuation (Amendment) Act (Commencement of Certain Provisions) (No 3) O",department-of-housing-local-government-and-heritage,act_commencement,20 October 2022,2022,523,2022-523,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-082022-planning-and-development-maritime-and-valuation-amendment-act-commencement-of-certain-provisions-no-3-order-2022-si-5232022/,https://assets.gov.ie/static/documents/circular-pl-082022-planning-and-development-maritime-and-valuation-amendment-act-comme.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,09-2022 Circular PL 09-2022 Irish Water planning applications,department-of-housing-local-government-and-heritage,planning_rule,30 November 2022,2022,565,2022-565,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-09-2022-irish-water-planning-applications/,https://assets.gov.ie/static/documents/circular-pl-09-2022-irish-water-planning-applications.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
10/2022,10/2022 Circular PL 10/2022 - Planning and Development (Exempted Development) (No. 4) Regulations 2022 [S.I. 605/2022],department-of-housing-local-government-and-heritage,planning_rule,1 December 2022,2022,605,2022-605,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-102022-planning-and-development-exempted-development-no-4-regulations-2022-si-6052022/,https://assets.gov.ie/static/documents/circular-pl-102022-planning-and-development-exempted-development-no-4-regulations-2022.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
09/2023,PL 09/2023 Circular PL 09/2023 re S.I. No. 376/2023 Exempted Development Regulations,department-of-housing-local-government-and-heritage,planning_rule,4 August 2023,2022,605,2022-605,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-092023-re-si-no-3762023-exempted-development-regulations/,https://assets.gov.ie/static/documents/planning-and-development-exempted-development-no-4-regulations-2023.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
51/2022,Circular 51/2022 - Defective Concrete Blocks Grant Scheme - Dwellings Damaged by the Use of Defective Concrete Blocks in Construction (Remed,department-of-housing-local-government-and-heritage,funding_scheme,16 December 2022,2022,654,2022-654,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-512022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-the-use-of-defective-concrete-blocks-in-construction-remediation-financial-assistance-amendment-no2-regulations-2022-si-no-654-of-2022/,https://assets.gov.ie/static/documents/circular-512022-defective-concrete-blocks-grant-scheme-dwellings-damaged-by-the-use-of.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2022,PL 06/2022 Circular EUIPR 06/2022 – Planning and Development Act 2000 (Exempted Development)(Number 5) Regulations 2022,department-of-housing-local-government-and-heritage,planning_rule,21 December 2022,2022,664,2022-664,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-euipr-062022-planning-and-development-act-2000-exempted-developmentnumber-5-regulations-2022/,https://assets.gov.ie/static/documents/euipr-06-2022-planning-and-development-act-2000-exempted-developmentnumber-5-regulatio.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2022,07/2022 Circular EUIPR 07/2022 - European Union (Planning and Development Act 2000)(Habitats and Environmental Impact Assessment),department-of-housing-local-government-and-heritage,funding_scheme,23 December 2022,2022,708,2022-708,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-euipr-072022-european-union-planning-and-development-act-2000habitats-and-environmental-impact-assessment/,https://assets.gov.ie/static/documents/circular-euipr-072022-european-union-planning-and-development-act-2000habitats-and-env.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
07/2023,Circular 07/2023 - Local Authority Home Loan Scheme (LAHL),department-of-housing-local-government-and-heritage,funding_scheme,28 February 2023,2023,76,2023-076,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-072023-local-authority-home-loan-scheme-lahl/,https://assets.gov.ie/static/documents/circular-072023-local-authority-home-loan-scheme-lahl.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2023,05/2023 PL 05-2023 Exempted Development Regulations Circular,department-of-housing-local-government-and-heritage,planning_rule,7 June 2023,2023,246,2023-246,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pl-05-2023-exempted-development-regulations-circular/,https://assets.gov.ie/static/documents/pl-05-2023-exempted-development-regulations-circular.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2023,05/2023 PL 05-2023 Exempted Development Regulations Circular,department-of-housing-local-government-and-heritage,planning_rule,7 June 2023,2023,250,2023-250,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pl-05-2023-exempted-development-regulations-circular/,https://assets.gov.ie/static/documents/pl-05-2023-exempted-development-regulations-circular.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
04/2022,07 2023 PL 07 2023 Section 254 Street Furniture Fees Waiver Regulations,department-of-housing-local-government-and-heritage,planning_rule,12 June 2023,2023,256,2023-256,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pl-07-2023-section-254-street-furniture-fees-waiver-regulations/,https://assets.gov.ie/static/documents/pl-072023-section-254-street-furniture-fees-waiver-regulations.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2023,05/2023 PL 05-2023 Exempted Development Regulations Circular,department-of-housing-local-government-and-heritage,planning_rule,7 June 2023,2023,269,2023-269,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pl-05-2023-exempted-development-regulations-circular/,https://assets.gov.ie/static/documents/pl-05-2023-exempted-development-regulations-circular.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2023,06/2023 PL 06-2023 Event Licensing Regulations,department-of-housing-local-government-and-heritage,planning_rule,8 June 2023,2023,273,2023-273,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pl-06-2023-event-licensing-regulations/,https://assets.gov.ie/static/documents/pl-06-2023-event-licensing-regulations.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2023,Circular Housing 25/2023 - Commencement of the Remediation of Dwellings Damage by the Use of Defective Concrete Blocks Act 2022 and the Reme,department-of-housing-local-government-and-heritage,act_commencement,4 July 2023,2023,321,2023-321,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-housing-252023-commencement-of-the-remediation-of-dwellings-damage-by-the-use-of-defective-concrete-blocks-act-2022-and-the-remediation-of-dwellings-damaged-by-the-use-of-defective-concrete-blocks-regulations-2023/,https://assets.gov.ie/static/documents/circular-housing-252023-commencement-of-the-remediation-of-dwellings-damage-by-the-use.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2023,Circular Housing 25/2023 - Commencement of the Remediation of Dwellings Damage by the Use of Defective Concrete Blocks Act 2022 and the Reme,department-of-housing-local-government-and-heritage,act_commencement,4 July 2023,2023,347,2023-347,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-housing-252023-commencement-of-the-remediation-of-dwellings-damage-by-the-use-of-defective-concrete-blocks-act-2022-and-the-remediation-of-dwellings-damaged-by-the-use-of-defective-concrete-blocks-regulations-2023/,https://assets.gov.ie/static/documents/circular-housing-252023-commencement-of-the-remediation-of-dwellings-damage-by-the-use.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
10/2026,Commencement of Sections of the Remediation of Dwellings Damaged by the Use of Defective Concrete Blocks (Amendment) Act 2025 and Dwellings ,department-of-housing-local-government-and-heritage,act_commencement,2 March 2026,2023,347,2023-347,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/commencement-of-sections-of-the-remediation-of-dwellings-damaged-by-the-use-of-defective-concrete-blocks-amendment-act-2025-and-dwellings-damaged-by-use-of-defective-concrete-blocks-increased-grant-regulations-2026/,https://assets.gov.ie/static/documents/f362c397/Ministerial_Guidance_Note.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2023,347,2023-347,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
09/2023,PL 09/2023 Circular PL 09/2023 re S.I. No. 376/2023 Exempted Development Regulations,department-of-housing-local-government-and-heritage,planning_rule,4 August 2023,2023,376,2023-376,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-092023-re-si-no-3762023-exempted-development-regulations/,https://assets.gov.ie/static/documents/planning-and-development-exempted-development-no-4-regulations-2023.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2023,01/2023 Circular EUIPR 01/2023 – Planning and Development (Amendment) (No 2) Regulations 2023,department-of-housing-local-government-and-heritage,planning_rule,27 July 2023,2023,383,2023-383,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-euipr-012023-planning-and-development-amendment-no-2-regulations-2023/,https://assets.gov.ie/static/documents/circular-euipr-012023-planning-and-development-amendment-no-2-regulations-2023-de34e38.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
12/2023,Management of Sick Leave in the Civil Service,department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation,funding_scheme,4 September 2023,2023,407,2023-407,https://www.gov.ie/en/department-of-public-expenditure-infrastructure-public-service-reform-and-digitalisation/circulars/management-of-sick-leave-in-the-civil-service/,https://assets.gov.ie/static/documents/circular-122023-management-of-sick-leave-in-the-civil-service.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
11/2023,Circular PL11/2023 - New design flexibility provisions with regard to certain unconfirmed details as part of application for planning permis,department-of-housing-local-government-and-heritage,planning_rule,21 December 2023,2023,645,2023-645,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed-details-as-part-of-application-for-planning-permission/,https://assets.gov.ie/static/documents/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
11/2023,Circular PL11/2023 - New design flexibility provisions with regard to certain unconfirmed details as part of application for planning permis,department-of-housing-local-government-and-heritage,planning_rule,21 December 2023,2023,654,2023-654,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed-details-as-part-of-application-for-planning-permission/,https://assets.gov.ie/static/documents/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
11/2023,Circular PL11/2023 - New design flexibility provisions with regard to certain unconfirmed details as part of application for planning permis,department-of-housing-local-government-and-heritage,planning_rule,21 December 2023,2023,655,2023-655,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed-details-as-part-of-application-for-planning-permission/,https://assets.gov.ie/static/documents/circular-pl112023-new-design-flexibility-provisions-with-regard-to-certain-unconfirmed.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
03/2024,03/2024 Circular PL 03/2024 - Planning and Development (Street Furniture Fees) Regulations 2024 (S.I. 196 of 2024),department-of-housing-local-government-and-heritage,planning_rule,9 May 2024,2024,196,2024-196,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-pl-032024-planning-and-development-street-furniture-fees-regulations-2024-si-196-of-2024/,https://assets.gov.ie/static/documents/circular-pl-032024-planning-and-development-street-furniture-fees-regulations-2024-si-.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
10/2026,Commencement of Sections of the Remediation of Dwellings Damaged by the Use of Defective Concrete Blocks (Amendment) Act 2025 and Dwellings ,department-of-housing-local-government-and-heritage,act_commencement,2 March 2026,2024,577,2024-577,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/commencement-of-sections-of-the-remediation-of-dwellings-damaged-by-the-use-of-defective-concrete-blocks-amendment-act-2025-and-dwellings-damaged-by-use-of-defective-concrete-blocks-increased-grant-regulations-2026/,https://assets.gov.ie/static/documents/f362c397/Ministerial_Guidance_Note.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
10/2026,Commencement of Sections of the Remediation of Dwellings Damaged by the Use of Defective Concrete Blocks (Amendment) Act 2025 and Dwellings ,department-of-housing-local-government-and-heritage,act_commencement,2 March 2026,2024,621,2024-621,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/commencement-of-sections-of-the-remediation-of-dwellings-damaged-by-the-use-of-defective-concrete-blocks-amendment-act-2025-and-dwellings-damaged-by-use-of-defective-concrete-blocks-increased-grant-regulations-2026/,https://assets.gov.ie/static/documents/f362c397/Ministerial_Guidance_Note.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2025,20,2025-020,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2002,PDA 2024 Commencement Circular No 2A re An Coimisiún Pleanála (updated 2 July 2025),department-of-housing-local-government-and-heritage,act_commencement,3 July 2025,2025,256,2025-256,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pda-2024-commencement-circular-no-2a-re-an-coimisi%C3%BAn-plean%C3%A1la-updated-2-july-2025/,https://assets.gov.ie/static/documents/PDA_2024_Commencement_Circular_No_2A_re_An_Coimisi%C3%BAn_Plean%C3%A1la_updated_2_July_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
