# SCSI/Teagasc Annual Agricultural Land Market Review & Outlook 2026 — county land values 2025.
# Source: https://scsi.ie/wp-content/uploads/2026/04/SCSI-Teagasc-Annual-Agricultural-Land-Market-Review-Outlook-2026.pdf
# Tables 6 (Leinster, p28), 7 (Munster, p29), 8 (Connacht/Ulster, p29). Retrieved 2026-09-03.
# Survey of 169 SCSI auctioneers/valuers (Feb-Mar 2026 for the 2025 year); AVERAGE values per
# acre for NON-RESIDENTIAL agricultural land, by plot-size band and land quality. Dublin is
# excluded by the source. This is survey opinion of typical values, not transaction records —
# Extracted band at best; never present as a valuation of any specific parcel.
# Transcribed by hand from the PDF tables; the <50ac slice cross-checks 25/25 against the
# report's own county map (p4), and county good/poor means reproduce the report's headline
# figures (Wexford 19226, Kildare 19200, Leitrim 3772) exactly.
# (c) SCSI/Teagasc — no open licence stated; cleared for internal analysis only until the
# owner confirms reuse terms for customer-facing output.
# size_band: lt50 = less than 50 acres, 50_100 = between 50 and 100 acres, gt100 = over 100 acres.
survey_year,county,province,size_band,quality,eur_per_acre
2025,Cavan,Connacht/Ulster,50_100,poor,8675
2025,Cavan,Connacht/Ulster,50_100,good,10500
2025,Cavan,Connacht/Ulster,gt100,poor,8675
2025,Cavan,Connacht/Ulster,gt100,good,10500
2025,Monaghan,Connacht/Ulster,lt50,poor,7000
2025,Monaghan,Connacht/Ulster,lt50,good,14750
2025,Monaghan,Connacht/Ulster,50_100,poor,8500
2025,Monaghan,Connacht/Ulster,50_100,good,12333
2025,Monaghan,Connacht/Ulster,gt100,poor,9250
2025,Monaghan,Connacht/Ulster,gt100,good,13250
2025,Mayo,Connacht/Ulster,lt50,poor,4417
2025,Mayo,Connacht/Ulster,lt50,good,11429
2025,Mayo,Connacht/Ulster,50_100,poor,3875
2025,Mayo,Connacht/Ulster,50_100,good,9450
2025,Mayo,Connacht/Ulster,gt100,poor,5063
2025,Mayo,Connacht/Ulster,gt100,good,9950
2025,Roscommon,Connacht/Ulster,lt50,poor,5167
2025,Roscommon,Connacht/Ulster,lt50,good,10333
2025,Roscommon,Connacht/Ulster,50_100,poor,6300
2025,Roscommon,Connacht/Ulster,50_100,good,10033
2025,Roscommon,Connacht/Ulster,gt100,poor,6300
2025,Roscommon,Connacht/Ulster,gt100,good,7000
2025,Sligo,Connacht/Ulster,lt50,poor,4900
2025,Sligo,Connacht/Ulster,lt50,good,11000
2025,Sligo,Connacht/Ulster,50_100,poor,4250
2025,Sligo,Connacht/Ulster,50_100,good,10000
2025,Sligo,Connacht/Ulster,gt100,poor,5033
2025,Sligo,Connacht/Ulster,gt100,good,10667
2025,Donegal,Connacht/Ulster,lt50,poor,6250
2025,Donegal,Connacht/Ulster,lt50,good,10375
2025,Donegal,Connacht/Ulster,50_100,poor,5000
2025,Donegal,Connacht/Ulster,50_100,good,9083
2025,Donegal,Connacht/Ulster,gt100,poor,5000
2025,Donegal,Connacht/Ulster,gt100,good,14417
