local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Galway City,120721_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,5,ocr_winocr
Galway City,140621_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,1,ocr_winocr
Galway City,140621_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,15,ocr_winocr
Galway City,100521_01_Minutes.pdf,plenary_minutes,exec_noted_mgmt,executive,1,ocr_winocr
Galway City,100521_01_Minutes.pdf,plenary_minutes,exec_noted_annual,executive,1,ocr_winocr
Galway City,190421_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,4,ocr_winocr
Galway City,190421_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,4,ocr_winocr
Galway City,120421_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,120421_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,4,ocr_winocr
Galway City,120421_01_Minutes.pdf,plenary_minutes,exec_noted_annual,executive,1,ocr_winocr
Galway City,080321_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,080321_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Galway City,080221_01_Minutes.pdf,plenary_minutes,reserved_real_devplan,reserved,4,ocr_winocr
Galway City,080221_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,080221_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,110121_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,110121_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,4,ocr_winocr
Galway City,141220_01_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,1,ocr_winocr
Galway City,141220_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,141220_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,4,ocr_winocr
Galway City,141220_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,4,ocr_winocr
Galway City,301120_01_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,6,ocr_winocr
Galway City,301120_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,1,ocr_winocr
Galway City,301120_01_Minutes.pdf,plenary_minutes,reserved_real_rates,reserved,4,ocr_winocr
Galway City,301120_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,091120_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway City,091120_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway City,121020_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway City,140920_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,13,ocr_winocr
Galway City,140920_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,1,ocr_winocr
Galway City,140920_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,4,ocr_winocr
Galway City,130720_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,1,ocr_winocr
Galway City,130720_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,3,ocr_winocr
Galway City,130720_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway City,080620_01_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,1,ocr_winocr
Galway City,080620_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,5,ocr_winocr
Galway City,090320_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,7,ocr_winocr
Galway City,100220_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Galway City,200120_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,5,ocr_winocr
Galway City,200120_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway County,Minutes%2027.04.2026.pdf,plenary_minutes,reserved_real_lpt,reserved,3,ocr_winocr
Galway County,Minutes%2027.04.2026.pdf,plenary_minutes,exec_noted_mgmt,executive,2,ocr_winocr
Galway County,Minutes%2023.03.26.pdf,plenary_minutes,reserved_real_budget,reserved,1,ocr_winocr
Galway County,Minutes%2023.03.26.pdf,plenary_minutes,exec_noted_mgmt,executive,2,ocr_winocr
Galway County,Miontuairisc%C3%AD%20-%20Minutes%2023.02.26.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway County,Miontuairisc%C3%AD%20-%20Minutes%2023.02.26.pdf,plenary_minutes,exec_noted_mgmt,executive,1,ocr_winocr
Galway County,Miontuairisc%C3%AD%20Speisialta%2016.02.2026%20-%20Special%20Minutes%2016.02.202,plenary_minutes,reserved_real_devplan,reserved,2,ocr_winocr
Galway County,Miontuairisc%C3%AD%20Speisialta%2016.02.2026%20-%20Special%20Minutes%2016.02.202,plenary_minutes,reserved_real_rates,reserved,1,ocr_winocr
Galway County,Miontuairisc%C3%AD%20Speisialta%2016.02.2026%20-%20Special%20Minutes%2016.02.202,plenary_minutes,exec_noted_mgmt,executive,1,ocr_winocr
Louth,LCC_MB_1_006.pdf,plenary_minutes,reserved_real_rates,reserved,1,ocr_winocr
Louth,LCC_MB_4_6.pdf,plenary_minutes,reserved_real_rates,reserved,7,ocr_winocr
Louth,LCC_MB_6_2.pdf,plenary_minutes,reserved_real_rates,reserved,2,ocr_winocr
Galway County,Minutes%2025.05.2026_0.pdf,plenary_minutes,reserved_veto_s183,reserved,13,ocr_winocr
Galway County,Minutes%2025.05.2026_0.pdf,plenary_minutes,exec_noted_mgmt,executive,2,ocr_winocr
Kilkenny,june-plenary-meetng-16th-june.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Kilkenny,june-plenary-meetng-16th-june.pdf,plenary_minutes,reserved_veto_part8,reserved,5,ocr_winocr
Galway City,120623_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,2,ocr_winocr
Galway City,120623_01_Minutes.pdf,plenary_minutes,exec_noted_annual,executive,1,ocr_winocr
Louth,louth-co-council-mb-copy-volume-10.pdf,plenary_minutes,reserved_real_rates,reserved,1,ocr_winocr
Clare,minutes-the-june-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_real_devplan,reserved,1,html
Clare,minutes-the-june-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,6,html
Clare,minutes-the-june-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,8,html
Clare,minutes-the-june-2026-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_mgmt,executive,2,html
Clare,minutes-the-june-2026-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_annual,executive,1,html
Clare,minutes-may-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_annual,executive,1,html
Clare,minutes-april-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,16,html
Clare,minutes-april-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,2,html
Clare,minutes-april-2026-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_annual,executive,2,html
