constituency_slug,constituency_name,candidate_slug,candidate_name,candidate_page_url,doc_type,doc_label,pdf_url,media_id
04050-cork-north-central,Cork North Central,818d0-barry-mick,"Barry, Mick",https://www.sipo.ie/en/collection/818d0-barry-mick/,donation_statement,"Barry, Mick - GE 2024 Donation Statement",https://assets.sipo.ie/media/284400/9f83f317-db86-4824-acd6-21b31b00342d.pdf,284400
04050-cork-north-central,Cork North Central,818d0-barry-mick,"Barry, Mick",https://www.sipo.ie/en/collection/818d0-barry-mick/,expense_statement,"Barry, Mick - GE 2024 Expense Statement",https://assets.sipo.ie/media/284399/632573c1-b3a1-4e67-ac23-6cc7e4de4d76.pdf,284399
04050-cork-north-central,Cork North Central,aceb8-maher-john,"Maher, John",https://www.sipo.ie/en/collection/aceb8-maher-john/,donation_statement,"Maher, John - GE 2024 Donation Statement",https://assets.sipo.ie/media/285038/6ef34774-6f0e-49db-b356-ac5d66abe943.pdf,285038
04050-cork-north-central,Cork North Central,aceb8-maher-john,"Maher, John",https://www.sipo.ie/en/collection/aceb8-maher-john/,expense_statement,"Maher, John - GE 2024 Expense Statement",https://assets.sipo.ie/media/285039/9be16bbf-c1b0-4fe8-bd05-24dd00143468.pdf,285039
04050-cork-north-central,Cork North Central,adf95-murphy-kelleher-sandra,"Murphy Kelleher, Sandra",https://www.sipo.ie/en/collection/adf95-murphy-kelleher-sandra/,expense_statement,"Murphy Kelleher, Sandra - GE 2024 Expense Statement",https://assets.sipo.ie/media/284094/880efeaf-2887-4a3b-bb02-7e13b5df34c7.pdf,284094
04050-cork-north-central,Cork North Central,b3b5c-moran-oliver,"Moran, Oliver",https://www.sipo.ie/en/collection/b3b5c-moran-oliver/,donation_statement,"Moran, Oliver GE 2024 Donation Statement",https://assets.sipo.ie/media/284695/2c9660b6-9fe7-4535-b18c-138e8de2a6fa.pdf,284695
04050-cork-north-central,Cork North Central,b3b5c-moran-oliver,"Moran, Oliver",https://www.sipo.ie/en/collection/b3b5c-moran-oliver/,expense_statement,"Moran, Oliver GE 2024 Expense Statement",https://assets.sipo.ie/media/284696/666a94b1-a03c-40ca-aeaf-3e8cf913a96b.pdf,284696
04050-cork-north-central,Cork North Central,dc1d3-lynch-joe,"Lynch, Joe",https://www.sipo.ie/en/collection/dc1d3-lynch-joe/,donation_statement,"Lynch, Joe - GE 2024 Donation Statement",https://assets.sipo.ie/media/284532/0e2b5ef5-a692-4b90-8640-aa8c3b67e693.pdf,284532
04050-cork-north-central,Cork North Central,dc1d3-lynch-joe,"Lynch, Joe",https://www.sipo.ie/en/collection/dc1d3-lynch-joe/,expense_statement,"Lynch, Joe - GE 2024 Expense Statement",https://assets.sipo.ie/media/284533/02f37312-97b8-44fa-9497-38178a0bf1ec.pdf,284533
04050-cork-north-central,Cork North Central,f2d52-daly-imelda,"Daly, Imelda",https://www.sipo.ie/en/collection/f2d52-daly-imelda/,expense_statement,"Daly, Imelda GE 2024 Expense Statement",https://assets.sipo.ie/media/285155/eb49b5f5-7233-4b0a-82e9-17211cc5338a.pdf,285155
04050-cork-north-central,Cork North Central,f7884-fitzgerald-tony,"Fitzgerald, Tony",https://www.sipo.ie/en/collection/f7884-fitzgerald-tony/,donation_statement,"Fitzgerald, Tony - GE 2024 Donation Statement",https://assets.sipo.ie/media/284076/ba2a3512-3066-4cce-acf6-2bf7f6f8dec2.pdf,284076
04050-cork-north-central,Cork North Central,f7884-fitzgerald-tony,"Fitzgerald, Tony",https://www.sipo.ie/en/collection/f7884-fitzgerald-tony/,expense_statement,"Fitzgerald, Tony - GE 2024 Expense Statement",https://assets.sipo.ie/media/284073/2b5149e1-21e4-4e9d-9b2f-07f8b4f5983f.pdf,284073
